material_name,Frequency
Ge1-xSnx,24
"(Ga,Mn)As",24
Zn(OH)2,24
TiO2 layer,24
Graphene (Gr),24
Ru,24
In0.49Ga0.51P,24
μc-Si:H,24
Pt Counter Electrode,24
Rb,24
n-type GaN Layer,24
CsPbIBr2,24
InGaAs Quantum Wells (QWs),24
Cr impurity,24
CdSe Quantum Dot,23
SiCN,23
Cadmium Selenide (CdSe),23
Reduced Graphene Oxide (rGO),23
BiI3,23
InGaN/GaN MQW active region,23
Lead (Pb),23
InGaAs Cap Layer,23
Al2O3 Substrate,23
Cladding Layers,23
Diamond substrate,23
GaN (Nucleation Layer),23
Undoped GaAs buffer layer,23
CIS (CuInSe2),23
GaN (Mg-doped),23
GaAs (Si-doped),23
GeSn,23
Si (1 1 1) substrate,23
Cr2O3,23
AlGaAs/GaAs Heterostructure,23
In0.08Ga0.92N,23
GeO2,23
n-InP buffer layer,23
Ni/Au contacts,23
Ce,23
p-GaP,23
p-type Si,23
Stainless Steel,23
InP (Buffer Layer),23
ZnO nanocrystals,23
Mg-doped GaN layer,23
Cu (Copper),23
ZnO:Cu,23
CuAlO2,23
GaAs Barrier Layer,23
Fe-doped InP,23
N3 Dye,23
CdSe/CdS,23
GaN core,23
SiC matrix,23
Quantum Wells (QWs),23
Cadmium Sulphide (CdS),23
"CIGSe (Cu(In,Ga)Se2)",23
GaAs (001) substrate,23
Silicon Oxide (SiO2),22
Dye (N719),22
Polyvinyl Alcohol (PVA),22
TiO2 (P-25),22
Sapphire substrate (Al2O3),22
AlN (Epilayer),22
Top Contact Layer,22
SiOxNy,22
CsPbCl3,22
"(Zn,Mg)O",22
GaAs wafer,22
Native Oxide,22
ZnO (Shell),22
PTB7:PC71BM,22
Mn2+,22
F,22
InGaAs/InP,22
AlAs/GaAs,22
Plasma,22
n-InP substrate,22
4H–SiC substrate,22
Nanocrystalline Silicon (nc-Si),22
a-Se,22
GaAs Buffer,22
Ir,22
InxGa1−xN,22
p-type GaN:Mg layer,22
SiC Coating,22
ZnS nanoparticles,22
n-type a-Si:H,22
N (Dopant),22
Ti/Au contacts,22
Ni/Au contact,22
Al0.8Ga0.2As,22
N-doped TiO2,22
Cd1-xMnxTe,22
Pt (Platinum),22
Superlattice,22
a-SiNx:H,22
GaAs (p-type),22
SiC Matrix,22
"(Hg,Cd)Te",22
Al0.1Ga0.9As,22
2DEG at AlGaN/GaN Interface,22
CZTSSe absorber layer,22
InP Cladding Layer,22
Buffer layer,22
SiO2 Film,22
VCSEL,22
n-type Silicon (Si),22
InAs Quantum Dot (QD),22
Top Electrode,22
GaAs (Layer),22
GaCl,22
Al0.24Ga0.76N,22
Gate Oxide,22
PTB7-Th:PC71BM,22
[CdTe],21
Poly-Si,21
Gain Section,21
AlGaAs Layer,21
InAs/GaSb T2SL,21
GaAs1-xNx,21
HgS,21
AlGaAs barriers,21
n-GaAs (Substrate),21
GaAs active layer,21
GaSb layer,21
Ge Buffer Layer,21
Hg,21
Perovskite (CH3NH3PbI3),21
FAPbBr3,21
PCDTBT:PC71BM,21
BiOCl,21
PZT,21
PbTiO3,21
GaN quantum well,21
TiO2 (Degussa P25),21
InGaAs Photodiode,21
CH3NH3PbI3 (MAPbI3),21
AlInP,21
SubPc,21
Diamond Film,21
h-BN (Hexagonal Boron Nitride),21
GaNP,21
Cd0.9Zn0.1Te,21
GaAs (Host Semiconductor),21
PbBr2,21
Ta,21
n+-GaAs substrate,21
CVD ZnS,21
SiC film,21
Poly-SiC,21
GaN Barrier Layers,21
Helium (He),21
Al0.33Ga0.67As,21
GaAs/AlAs,21
Oxygen Vacancies,21
Zn3N2,21
InAs Wetting Layer (WL),21
"TiO2 (P25, Degussa)",21
PC71BM (Acceptor),21
Mg0.2Zn0.8O,21
GaAs QW,21
CH4,21
P3HT:ICBA,21
GaN Quantum Wells (QWs),21
InAlAs Buffer Layer,21
GaN matrix,21
ZrB2,21
Laser,21
Multi-walled Carbon Nanotubes (MWCNTs),21
VO2,21
Glass Matrix,21
m-plane GaN substrate,21
n-In0.53Ga0.47As,21
Interface Layer,21
CVD Graphene,21
HT-AlN buffer layer,21
CIGSe absorber layer,21
AlN nucleation layer (NL),21
c-Si wafer,21
TiO2 Photoanode,21
MgO buffer layer,21
Epitaxial Graphene (EG),21
GaP (Substrate),21
GZO (Gallium-doped Zinc Oxide),21
GaAs:Cr,21
GaAs core,21
Ag electrode,21
ZnS (Zinc Sulfide),21
p-Si (100),21
Zn1-xMnxO,21
ZnO Substrate,21
Hg0.8Cd0.2Te,21
GaN (Barriers),21
In₂O₃,21
Ti/Al/Mo/Au,21
ZnSxSe1-x,21
Nitrogen-doped ZnO,21
p-a-Si:H,20
Indium Nitride (InN),20
Ti/Al/Ni/Au Ohmic Contacts,20
InAs substrate,20
Silicon (p-type),20
ZnO Quantum Dots,20
InGaAs well,20
β-Ga2O3 substrate,20
InGaN/GaN Quantum Wells (QWs),20
n+-GaN layer,20
n-type GaAs Substrate,20
InAlP,20
InxGa1-xN alloy,20
Detector,20
Poly-TPD,20
TiO2 (Rutile),20
AlN/sapphire template,20
SixNy,20
SiN Passivation Layer,20
NaCl,20
GaAs Core,20
Epitaxial Graphene,20
As2S3,20
Schottky Contact,20
Gold Nanoparticles (AuNPs),20
Methanol,20
Silicene,20
Ga0.75In0.25Sb,20
InGaN Quantum Dots,20
GaAs Membrane,20
Amorphous Carbon,20
Niobium (Nb),20
Sb2O3,20
HgTe CQDs,20
Undoped GaAs Layer,20
Sapphire (0001),20
Poly(methyl methacrylate) (PMMA),20
InP epitaxial layer,20
n-type GaN:Si layer,20
Silicon wafer,20
Al0.15Ga0.85As,20
Metal contacts,20
n-GaN Buffer Layer,20
AlN Seed Layer,20
CdS (Window layer),20
AlGaAs layer,20
Ti-Au,20
Epitaxial Layers,20
AlGaAs Cladding,20
InGaN Layer,20
D149,20
TiO2 Nanorods,20
Cu2ZnSnSe4 (CZTSe),20
Diffraction Grating,20
GaAs (Barrier),20
ZnO NW,20
Al0.17Ga0.83N,20
Ethanol,20
CZTS (Absorber Layer),20
MnTe,20
IT-M,20
Er3+,20
Ba,20
N2200,20
n-Si Substrate,20
Polysulfide electrolyte,20
InAs/GaAs Quantum Dots,20
C60 (Fullerene),20
ε-Ga2O3,20
ZnO:Al (TCO),20
GaAs Nanowire,20
CdTe:As,20
Al0.25Ga0.75N Barrier Layer,20
Al layer,20
Iodine,20
SiC Film,20
M-plane GaN,20
FeS2 (pyrite),20
Photonic Crystal (PC),20
m-TiO2,20
ZnO nanowire array,20
ZnO-InN,20
InN (Well),19
TCTA,19
Al2O3 layer,19
InGaAs absorption layer,19
Water (H2O),19
2DEG Channel,19
GaN Quantum Barrier (QB),19
InGaN epilayer,19
GaAs barriers,19
CsPbBr3 QDs,19
Graphene (G),19
GaN nanorods,19
In0.05Ga0.95N,19
Resistors,19
Graphene Quantum Dot (GQD),19
InP Quantum Dots (QDs),19
Ga1-xMnxAs,19
PMMA (Poly(methyl methacrylate)),19
a-Si:H(p),19
Cadmium (Cd),19
InGaN/GaN QWs,19
Metal Electrodes,19
Al0.82In0.18N,19
p-type GaN:Mg,19
Cu3SbS4,19
nc-TiO2,19
i-ZnO Layer,19
GeS,19
CZTS (Copper Zinc Tin Sulfide),19
NiCr,19
TiO2 Layer,19
GaInNAsSb,19
Cd0.96Zn0.04Te,19
Holes,19
In0.25Ga0.75N,19
AZO thin film,19
ZnSe (Host),19
Cs2SnI6,19
Glutaraldehyde,19
Gold Nanoparticles (Au NPs),19
SiON,19
Al0.33Ga0.67N,19
CuSbSe2,19
Al electrodes,19
a-Si:H (n-layer),19
Cadmium Zinc Telluride (CZT),19
Sapphire (α-Al2O3),19
p-InGaN,19
P3HT:PCBM Active Layer,19
UTC-PD,19
Ge2Sb2Te5,19
GaN active layer,19
Mg dopant,19
GaAs Barrier Layers,19
PV Cell,19
InGaSb,19
Al0.45Ga0.55As,19
H2 (Hydrogen),19
GaN (Top Layer),19
PbI₂,19
u-GaN layer,19
ZnSnN2,19
AlAsSb,19
p-InP Cladding Layer,19
Waveguides,19
i-InGaN,19
PBDTTPD,19
SiO2 Substrate,19
GaN/sapphire template,19
In0.16Ga0.84N,19
CdS NPs,19
n-InP layer,19
CIGS Absorber,19
ZnO single crystal,19
ZnO Nanowire Array,19
P3HT Polymer,19
AIN,19
ZnCdO,19
N-GQDs,19
Ni film,19
i-GaAs,19
InGaN film,19
CdTe Absorber Layer,19
ZnO shell,19
SnO2 nanoparticles,19
Metallization,19
SiC layer,19
Spiro-MeOTAD,19
Hg0.3Cd0.7Te,19
GQD,19
ZnAl2O4,19
CdHgTe,19
Single Crystal Silicon (SCS),19
HSQ,19
InP barrier,19
mc-Si:H,19
GaSb cap layer,19
Polycrystalline 3C-SiC,18
InGaN/GaN Multiple Quantum Well (MQW),18
GaAs Spacer Layers,18
Si-doped n-GaN layer,18
Transparent Conductive Oxide (TCO),18
Capacitors,18
n-GaSb,18
Al0.22Ga0.78N,18
GaN (Buffer),18
AlxGa1–xN,18
CZTSe (Cu2ZnSnSe4),18
Gate Metallization,18
Vacuum,18
p-InP Substrate,18
Alumina,18
InGaAs Layer,18
Contact Layers,18
V,18
n+ GaAs Substrate,18
GaN:C,18
ZIF-8,18
3C-SiC Epilayer,18
n-type GaN:Si,18
Insulator,18
SWCNT,18
Ti/Au Contacts,18
AgNW,18
GOx,18
SnO₂,18
SiO2 (Silicon Dioxide),18
NaF,18
BaSnO3,18
InxAl1-xN,18
Si0.8Ge0.2,18
Native Oxide Layer,18
GaAs matrix,18
ZnO nanopowder,18
AZO (Al doped ZnO),18
GaN:Ge,18
Palladium (Pd),18
MCT (Mercury Cadmium Telluride),18
ZnS (Shell),18
a-Si:H (p-layer),18
GaAs1-xBix,18
Channel,18
CdTe (Absorber),18
AuGe/Ni,18
PET substrate,18
AlGaN Electron Blocking Layer (EBL),18
Ag3PO4,18
Al0.18Ga0.82N,18
Interfacial Layer,18
LiF/Al,18
SOI Substrate,18
Au-NPs,18
M1,18
Film,18
AuGe,18
In0.21Al0.21Ga0.58As Capping Layer,18
InGaAs quantum well,18
InAsN,18
ZnSe epilayer,18
InAs (Substrate),18
Au/Ti,18
Silicon (Si) wafer,18
GaAs Wafer,18
ZnO (Seed Layer),18
ZnSe:Cl,18
Soda-lime glass,18
3C-SiC substrate,18
GaAs Spacer,18
c-plane GaN,18
CdTe film,18
In0.4Ga0.6As,18
Resist,18
Ti3C2Tx,18
FTO/glass substrate,18
Cu₂ZnSnS₄ (CZTS),18
Schottky Gate,18
CCTS,18
CdSe/CdS/ZnS QDs,18
Au (Electrode),18
LT GaN,18
Ge (Bottom Cell),18
Al0.23Ga0.77N,18
CdS NCs,18
AlN barrier layer,18
Hydrogenic donor impurity,18
LaAlO3,18
Pd/Au,18
Al0.5In0.5P,18
TiO2 electrode,18
Al0.20Ga0.80N,18
Donor,18
P3HT:PCBM (Active Layer),18
SWNTs,18
InP Cladding Layers,18
Mn2+ ions,18
Ga droplets,18
CZTS (Cu₂ZnSnS₄),18
Schottky Contacts,18
Ge1-xSnx alloy,18
Composite,18
"Cu(In,Ga)S2",18
InAs Quantum Well (QW),18
LT-AlN interlayer,18
InAlN/AlN/GaN Heterostructure,18
CZT,18
nc-3C-SiC,18
Mercury (Hg),18
Ag2O,18
m-GaN,18
ACZTSSe,18
HC-PBGF Core (Air),18
n-mc-Si:H,17
InP cap layer,17
Counter Electrode (Pt),17
Si3N4 Layer,17
SiO2 nanospheres,17
CdS (Buffer),17
FTO (Substrate),17
n-InP Buffer Layer,17
InGaAs quantum dot,17
GaAs/AlGaAs Quantum Wells,17
In0.2Ga0.8N,17
In₂S₃,17
n-SiC,17
In0.75Ga0.25As,17
BZO,17
ITO Glass,17
CdTe (Buffer Layer),17
Nitrogen (N) dopant,17
Lithium (Li),17
DLC Film,17
PFN,17
In0.14Ga0.86N,17
GaN Wetting Layer,17
Bulk GaN,17
In0.3Ga0.7N,17
TiO2 Shell,17
MASnI3,17
CdSe quantum dots (QDs),17
IDIC,17
n-ZnSe,17
TOPO,17
Al0.26Ga0.74N,17
N3,17
Au Schottky Contact,17
ZnSe Buffer Layer,17
Barrier Layer,17
In0.65Ga0.35N,17
YBCO,17
Mo substrate,17
InSb substrate,17
N (dopant),17
Bottom Contact,17
Antenna,17
Dewar,17
GaN:Mn,17
GaN Spacer Layer,17
AlP,17
Trimethylgallium (TMG),17
n-ZnS,17
CuInS2 (CIS),17
TMG,17
Al0.30Ga0.70N,17
Passivation,17
p-Si wafer,17
N (Nitrogen),17
ZnO nanorod arrays,17
PtSe2,17
Bulk GaN substrate,17
InGaAs (Quantum Well),17
PbSe QDs,17
"(Ca,Sr)F2",17
InGaAs Contact Layer,17
PPV,17
Anti-Reflection (AR) Coating,17
Silicon dioxide (SiO2),17
ZnO Nanorod Array,17
ITO (Indium-Tin Oxide),17
Al2O3 Dielectric,17
Zinc Selenide (ZnSe),17
Zn0.9Mg0.1O,17
ZnTe (Epilayer),17
CdSe Nanorods,17
InAs/GaSb Type-II Superlattice,17
c-plane sapphire substrate,17
Soda Lime Glass,17
GaAs MESFETs,17
c-AlN,17
p-GaAs Cap Layer,17
TlBr,17
BNNTs,17
a-SiOx:H,17
P3HT (Poly(3-hexylthiophene)),17
Ag2Se,17
ZnO (Window Layer),17
Acceptor,17
Ag Electrode,17
ZnO:Al Window Layer,17
Tungsten Oxide (WO3),17
"GaN (p-type, Mg-doped)",17
CdS Nanowires,17
Cs3Bi2I9,17
GaN (Bulk),17
HVPE-GaN,17
Y,17
InxAl1-xAs,17
SiO2 matrix,17
CuIn5S8,17
Quartz Substrate,17
InGaAsP (Active Layer),17
Cu3N,17
p-Si (Substrate),17
Ohmic contacts (Ti/Al/Ni/Au),17
Electrolyte Solution,17
InN QDs,17
Tunnel Junction,17
Polystyrene,17
i-GaN layer,17
GaAs (Well),17
Al0.28Ga0.72N Barrier Layer,17
n-GaAs (100),17
InN Epilayer,16
a-C:H film,16
HT-GaN layer,16
InAs/GaAs QD,16
Absorber Layer,16
SiO,16
HfO2 Gate Dielectric,16
GaN epitaxial film,16
CdTe:Cl,16
InGaAs Well,16
TCO (SnO2:F),16
MoO2,16
CuCrO2,16
CdTe Core,16
Deep Level Defects,16
CdS (Window Layer),16
Bromine (Br),16
InP (Indium Phosphide),16
BN coating,16
Al2O3 (Substrate),16
Boron Nitride (h-BN),16
Gold nanoparticles (Au NPs),16
Interdigitated electrodes,16
p-In0.53Ga0.47As,16
Threading Dislocations (TDs),16
MAI,16
Ti/Al/Pt/Au,16
In0.1Ga0.9As,16
Manganese (Mn),16
Tungsten,16
Al0.38Ga0.62N,16
SiO2 passivation layer,16
n-layer (a-Si:H),16
GaAs bulk,16
p-GaAs Layer,16
IZO Surface,16
MCT (Hg1-xCdxTe),16
Ni/Au Contact,16
NAC-capped CdTe QDs,16
Al0.25Ga0.75N barrier layer,16
GaAs (Host Material),16
Ag/ZnO,16
InAs quantum dots (QDs),16
lc-Si:H,16
GaAs wells,16
Pt electrode,16
Secondary Phases,16
Soda-lime glass substrate,16
LED Structure,16
CZTS absorber,16
a-SiC:H matrix,16
TGA,16
Al0.12Ga0.88N,16
MBE GaAs layer,16
Anode,16
ZnMnO,16
In0.3Ga0.7As,16
β-Ga2O3 Substrate,16
GaAs capping layer,16
MAPbI₃,16
InSb Substrate,16
CdSe shell,16
Bottom Contact Layer,16
Gold nanoparticles (AuNPs),16
"Zn(O,S) buffer layer",16
MoS₂,16
TiO2 Nanotube Array,16
HfO₂,16
Fullerene (C60),16
In0.18Al0.82N,16
CdS/CdSe QDs,16
Carbon Dots (CDs),16
SnS-CUB,16
GaP Nanowires,16
Au contact,16
Fe-doped InP substrate,16
InP (Epitaxial Layer),16
Al0.5Ga0.5N absorber layer,16
Gate Dielectric,16
Iron Pyrite (FeS2),16
ZnO Shell,16
H (Hydrogen),16
ZnO:Co,16
Polycrystalline Silicon,16
Bottom DBR,16
InAsP,16
n-ZnO:Al,16
CdTe Film,16
GaN:Tm,16
GaAs1-xPx,16
Silicon (n-type),16
AlAs layer,16
Quantum Well (QW),16
ZnCdS,16
GdN,16
Cr-doped GaAs,16
Antimony (Sb),16
PbS CQD,16
AlGaN/GaN Epitaxial Layer,16
Distributed Bragg Reflector (DBR),16
Diamond Substrate,16
La2O3,16
HVPE GaN layer,16
BGaN,16
TEGa,16
CdSe/ZnS core-shell quantum dots,16
InN:Mg,16
LGO (Lithium Germanium Oxide),16
Undoped GaAs substrate,16
Bi2Te2.7Se0.3,16
InGaAs p-i-n Photodiode,16
ZnSe (Buffer Layer),16
Ag layer,16
CA,16
MoS2 monolayer,16
AlN spacer layer,16
TiO2 NCs,16
InAs nanowires,16
Al0.07Ga0.93N Barrier,16
Si(1 0 0) substrate,16
PTB7:PC71BM Blend,16
Aluminum-doped Zinc Oxide (AZO),15
Si dopants,15
PEI,15
CoO,15
Silicon Dopant,15
V-defects,15
Si (100),15
SiO2 substrate,15
Mg (dopant),15
CdS/CdTe,15
Silicon Nanowires (SiNWs),15
Reduced Graphene Oxide (RGO),15
Al/Au,15
Au Schottky contact,15
AlxGa1−xN,15
c-Si(n),15
p-GaSb,15
AgIn5S8,15
GaN (Channel),15
Sapphire (substrate),15
CuGaSe2 (CGS),15
Methylammonium (MA),15
NaTaO3,15
Barrier Material,15
Al0.25Ga0.75N Layer,15
p-ZnTe,15
AuZn,15
Si NCs,15
AlGaN/GaN Interface,15
Ga adatoms,15
Be Dopant,15
ZnOS,15
GaAs Film,15
WTe2,15
CZTS (Kesterite structure),15
Erbium (Er),15
Source/Drain Electrodes,15
PBDT-PPDT,15
AlGaSb,15
AlGaN EBL,15
InN epilayer,15
Indium tin oxide (ITO),15
"Zn(S,O,OH)",15
IZO (Indium Zinc Oxide),15
GaAs Layers,15
WC,15
ZnSe Cap Layer,15
Ga0.51In0.49P,15
SbSI,15
MgAl2O4,15
3-mercaptopropionic acid (MPA),15
AgInSe2,15
ZnO Nanowalls,15
InGaN/GaN Quantum Wells,15
CVD graphene,15
MAPbI3 Perovskite,15
CdSe NPLs,15
p-n junction,15
ZnO:Sn,15
Substrate (GaAs),15
GaN layers,15
n-CdSe,15
Inductor,15
Si-doped n-type GaN layer,15
Er3+ ions,15
Lead Sulfide (PbS),15
InGaN/GaN Quantum Dots (QDs),15
InAs Cap Layer,15
ZMO,15
2D Electron Gas (2DEG),15
CdS Layer,15
Cr (Dopant),15
BaZrS3,15
InGaN well layers,15
CIGS (CuIn0.7Ga0.3Se2),15
InP:Fe Substrate,15
n-GaN contact layer,15
Silicate Glass Matrix,15
Ge (Substrate),15
AlGaN (Barrier Layer),15
HgCdTe epilayer,15
Toluene,15
Carbon Nanotube (CNT),15
n+-GaAs Buffer Layer,15
Quantum dot (QD),15
n-GaN film,15
ITO film,15
FTO coated glass,15
BDT,15
MoO₃,15
n+ GaN,15
InP epilayer,15
InGaAs quantum wells,15
Polymer P1,15
Cr-doped GaAs Substrate,15
PbSe Quantum Dots (QDs),15
CdS nanorods,15
ZnO:In,15
InSb Detector Array,15
GaN Quantum Dot,15
MOCVD-GaN template,15
Al0.21Ga0.79N,15
GaN:Fe,15
Mesoporous TiO2,15
ZnO (Host Lattice),15
AlN (Interlayer),15
Base,15
n-GaN Substrate,15
Ti foil,15
ITIC-Th,15
In0.15Ga0.85As Quantum Well (QW),15
BN Coating,15
FTO (F-doped SnO2),15
ZnSnAs2,15
ErAs,15
Polycarbonate (PC),15
GaAs Quantum Dot,15
Multiple Quantum Wells (MQWs),15
C71-PCBM,15
GaN Thin Film,15
p-GaAs Contact Layer,15
c-TiO2,15
p-type GaN contact layer,15
Ti/Al Ohmic Contact,15
Pt/Ti,15
SiNx interlayer,15
Al0.8Ga0.2N,15
Rear Contact,15
Contact,15
Collector,15
CIGSSe Absorber,15
Tm3+ ions,15
β-Ga₂O₃,15
beta-Ga2O3,15
In(AlGa)P,15
Ag Paste,14
P25,14
Polystyrene (PS) spheres,14
Eu (Dopant),14
Solvent,14
Cu/Au,14
PEO,14
Ni Schottky Contact,14
CdSe layer,14
InAlN barrier layer,14
Lead Iodide (PbI2),14
Al2O3 Passivation Layer,14
Voids,14
Mg-doped p-GaN layer,14
GaAs/Al0.3Ga0.7As,14
Junction,14
CdS (n-type),14
n-GaN core,14
LT GaN Nucleation Layer,14
Ni/Au Contacts,14
ZnO Nanostructures,14
Ni/Au Electrodes,14
Catalyst,14
GaN (Undoped Layer),14
TiW,14
Boron Nitride,14
Al0.14Ga0.86N,14
Substrates,14
Hg₁₋ₓCdₓTe,14
Cd0.5Zn0.5S,14
Oxide layer,14
SiO2 (Mask),14
AgI,14
AlON,14
CdSe/CdS QDs,14
p+-GaAs Contact Layer,14
ITO electrode,14
AlN/GaN,14
AlN template layer,14
p-GaN cap layer,14
GaInAs Quantum Well,14
GaN (Epitaxial Film),14
GaN (Host Lattice),14
MLG,14
In0.17Al0.83N,14
Epitaxial Structure,14
n-InAs,14
DIP,14
ZnO:F,14
Steel,14
Mn ions,14
Gold layer,14
p-nc-Si:H,14
Pure ZnO,14
InGaAsP Quantum Wells,14
GaN (Active Layer),14
Al0.08Ga0.92N,14
CdSexTe1-x,14
InP (substrate),14
Unintentionally doped GaN,14
InGaN/GaN MQW Structure,14
CMOS,14
Ridge waveguide,14
[PCBM],14
InP Quantum Dots,14
InP (Host),14
Annealing,14
CdSe Nanoparticles,14
ZnO (Layer),14
NiAl,14
SiNx:H,14
Gold (Au) Electrodes,14
Graphene film,14
Phosphorus,14
InP Core,14
CdS buffer,14
AlInGaN quaternary alloy,14
InxSy,14
Gold (Au) Film,14
MoS2 nanosheets,14
Al0.49Ga0.51N,14
N-polar GaN template,14
GaAs(001) Substrate,14
α-SiC,14
Various,14
In0.53Ga0.47As substrate,14
In0.35Ga0.65N,14
Al (Top Electrode),14
TEG,14
Ni/Ge/Au,14
GaN Layers,14
CH3NH3SnI3,14
GaAs/AlAs Superlattice,14
Hg1-xCdxTe Epilayer,14
CIGSSe (Absorber),14
InSbN,14
CdSe0.6Te0.4,14
Laser Structure,14
ZnSe buffer layer,14
Indium-Tin-Oxide (ITO),14
Diode,14
a-Si:H absorber layer,14
Ligands,14
VN,14
CrO2,14
nc-SiC,14
In0.22Ga0.78N,14
n-type Si,14
p-n Junction,14
Polycarbonate,14
Nd:YAG Laser,14
Iodine (I2),14
InP Nanowires,14
Dielectric rods,14
SiO2 Insulating Layer,14
Si (Cap layer),14
i-type a-Si:H,14
GaN (substrate),14
Silicon Nanocrystals (Si NCs),14
Graphene (C),14
[GaAs],14
Al0.05Ga0.95N,14
Silver Paste,14
Ni (Nickel),14
Graphite powder,14
Al contacts,14
InGaN/GaN Multi-Quantum Wells (MQWs),14
SiC Layer,14
Bottom Electrode,14
i-ZnO window layer,14
InGaAsP Barriers,14
ZnSnP2,14
SU-8,14
Au substrate,14
ZnxCd1-xSe,14
AlN capping layer,14
AlxGa1-xAs Barrier,14
n-type Silicon,14
Si3N4 Passivation Layer,14
Carbon Fibre (Cf),14
ZnO nanorods (NRs),14
β-In2Se3,14
M2,14
n+-ZnO,14
AlN spacer,14
p-ZnSe,14
Hg1−xCdxTe,14
GaN Quantum Barriers (QBs),14
CIGSSe absorber,14
n-GaN Epitaxial Layer,14
Passivation layer,14
Al0.85Ga0.15N,14
Al Gate Electrode,14
AlGaInAs/InP MQW,14
AlGaInN,14
HgCdTe Alloy,14
InP Epilayer,14
Al0.3Ga0.7As Barriers,14
PC71BM (acceptor),14
Amorphous Germanium (a-Ge),14
Si-doped GaAs Substrate,14
MWNT,14
InP (Epilayer),14
nc-SiC:H,14
Arsenene,14
n-layer,14
CdS CQDs,14
Interface Region,14
AlxIn1-xN,14
Y2O3:Eu3+,14
In0.12Ga0.88As,14
As2Se3,14
a-C,14
InGaN/GaN nanowires,14
CIGSe Absorber Layer,14
GaAs barrier,14
Al/Ti,14
GaN (Cap layer),14
Sm,14
Doping,14
TMA,14
CZTS Nanocrystals,14
Decomposable Buffer Layer (DBL),14
CdZnTe Crystal,14
Ge layer,14
TEOS,13
SWNT,13
Boron Nitride Nanotubes (BNNTs),13
Sapphire Substrate (Al2O3),13
GaAs Base,13
DBR,13
Tellurium,13
cBN film,13
AuSn,13
SiO2/Si substrate,13
GZO (ZnO:Ga),13
CIGS film,13
CuIn0.7Ga0.3Se2,13
Si-QDs,13
ITO Substrate,13
Inverter,13
Tb,13
Impurities,13
Au-Ge,13
EC,13
Si (001) substrate,13
Cr/Pt/Au,13
ALD Al2O3,13
Al Contact,13
Not specified in the text,13
Barriers,13
CdSe (Quantum Dots),13
Mica,13
ZnO Nanoneedles,13
ZnO:H,13
CdTe (Epitaxial Layer),13
P3HT:PC71BM,13
CdS (Core),13
Al0.28Ga0.72N,13
Si Buffer Layer,13
AlGaAs / GaAs,13
ITO Film,13
InGaAs APD,13
Cd2SnO4,13
CdTe Nanocrystals,13
Oxide Aperture,13
LT GaN buffer layer,13
p-type InP,13
Photonic Crystal (PhC),13
PDPP3T,13
CdTe Epilayer,13
GaAs Top Contact Layer,13
Metal Electrode,13
ZnO nanostructures,13
Ge Layer,13
Ar ions,13
Zinc oxide (ZnO),13
Amorphous Selenium (a-Se),13
Insulation,13
InAs Nanowire,13
Al2O3 dielectric layer,13
CIGS (CuIn1-xGaxSe2),13
TiO2 nanorod arrays,13
Cubic GaN,13
N-polar GaN substrate,13
Mg-doped GaN contact layer,13
Interdigitated Electrodes,13
Si(211) Substrate,13
Au Layer,13
In0.25Ga0.75As,13
CMTS,13
ZnO nanoneedles,13
GaAs (Top Layer),13
NH4Cl,13
InAs Quantum Well,13
ZnO nanowire arrays,13
Ga0.8In0.2N0.01As0.99,13
ZnSnO3,13
p-type a-SiC:H,13
GaN/AlN,13
Device Structure,13
Absorber Section,13
SiNx layer,13
GaSb (Buffer Layer),13
Si (p-type),13
a-Si:H(n),13
InN Quantum Dots,13
Distributed Bragg Reflectors (DBRs),13
SiNx mask,13
Microcrystalline Silicon (mc-Si:H),13
AlGaAs (Barrier),13
GaP:N,13
CIAS,13
PECVD SiC,13
TiO2 NRAs,13
GaAs Solar Cell,13
InGaAsSb,13
Air Bridges,13
Multicrystalline Silicon (mc-Si),13
GaAs(001) substrate,13
ZnSe (Epilayer),13
Potassium (K),13
CIGS (Absorber Layer),13
Thickness,13
ZnO nanorod array,13
ReSe2,13
CZTS Absorber Layer,13
TiO2 (Titanium dioxide),13
Anodic Oxide,13
MPA,13
Ag2S QDs,13
CVD SiC,13
Silicon carbide (SiC),13
C/C composite substrate,13
Fe film,13
Cu Substrate,13
CdS film,13
Antireflection Coating (ARC),13
AAO Template,13
Indium-tin oxide (ITO),13
Gallium Phosphide (GaP),13
rr-P3HT,13
NiFe,13
Mn2O3,13
GaN (Buffer layer),13
CsI,13
"CZTSSe (Cu2ZnSn(S,Se)4)",13
GaON,13
Silicon nitride,13
Lens,13
ZnO:P,13
InP-based PIC,13
n-type Silicon (n-Si),13
Carbazole,13
O (Oxygen),13
SiNx Interlayer,13
GaP Epilayer,13
In0.20Ga0.80N,13
Silicon (Si) Wafer,13
CIGS (Absorber),13
CsSnBr3,13
Solution,13
GaN LED structure,13
AlN Matrix,13
N-face GaN,13
Sapphire (0001) Substrate,13
p-InP layer,13
GaN Epitaxial Layers,13
Al0.75Ga0.25N,13
Top DBR,13
p-type GaN cap layer,13
HfC,13
InSb (Indium Antimonide),13
In0.07Ga0.93N,13
Methane (CH4),13
Inductors,13
CdS thin film,13
CdS/CdSe Quantum Dots,13
HVPE GaN Substrate,13
TiS2,13
Al₀.₃Ga₀.₇As,13
CTSe,13
"ZnS(O,OH)",13
AlGaAs cladding layers,13
Germanium (Ge) Layer,13
C60 (Acceptor),13
DPP,13
